"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTPRN",107.099154181195,6.62954989547922,0.920207327849205,6.11769731136258,9.49371752763628e-10,3.41793609573088e-07
"C12orf39",542.212457025271,-11.0451784248928,1.64357573844704,-6.11178310187529,9.85240324205494e-10,3.47468123318268e-07
"FMO2",8609.53849817211,-5.27178949401483,0.700654236258814,-6.09685815477875,1.08173424171519e-09,3.73868988621605e-07
"CD36",87850.5157676665,-6.28737852460382,0.867889884377819,-6.09222278053659,1.11353569612655e-09,3.77313928720842e-07
"SLC4A4",962.814312160039,-5.66047885638602,0.770630272721655,-6.0476197488667,1.47001400124639e-09,4.88525229914209e-07
"PLIN1",58744.3741693506,-7.99096483813158,1.1571451919644,-6.04156236112731,1.5262899329979e-09,4.97656911927108e-07
"CIDEA",4806.82629384398,-8.80162642844654,1.2927826777371,-6.03475476798824,1.59204272645275e-09,5.09483154737591e-07
"ITGA7",7425.24741101504,-5.07164915112153,0.676463140592795,-6.01902588151881,1.75469815151187e-09,5.5132615920503e-07
"ABCA10",599.033729609813,-4.72743567615929,0.621770548111871,-5.99487332984554,2.0364411508963e-09,6.28423920154267e-07
"ADH1A",1129.85774853476,-8.59998323771456,1.26915279139963,-5.98823348080358,2.12132397078692e-09,6.43133325248575e-07
"GPD1",33990.4928300953,-8.21069143233908,1.21060262889016,-5.95628264821264,2.58039899073821e-09,7.68825430326671e-07
"KCNIP2",9244.49758724763,-7.24059674405949,1.0540774042807,-5.92043498771144,3.2109120760898e-09,9.40470704862845e-07
"MYOM1",1122.55085079275,-5.10542203863476,0.695592602555486,-5.90204959562847,3.59013196374119e-09,1.02399134302528e-06
"CRHBP",297.38247177635,-6.39848124897591,0.914852563631783,-5.90093033957845,3.61457507809400e-09,1.02399134302528e-06
"CD300LG",3567.45785280873,-7.2000547070556,1.05556517166667,-5.87368252901532,4.26219252510391e-09,1.18798304881162e-06
"KLB",2421.84907538493,-6.89300254656727,1.00748648515213,-5.8492125040044,4.93905759505219e-09,1.35479133809678e-06
"GCOM1",2883.39715773003,-4.49396194651137,0.599068190335826,-5.832327609571,5.46594653941778e-09,1.47589097105748e-06
"ST6GALNAC1",132.224438195096,-4.09381081397096,0.538870949244012,-5.74128335979384,9.39617103203941e-09,2.49808048622574e-06
"TNNT1",705.759059135233,7.73090649294866,1.17301016400943,5.7381484828247,9.57171825178496e-09,2.50619489559236e-06
"ACVR1C",6948.77791672572,-7.2071980811636,1.08277323212598,-5.73268519852125,9.88530032161115e-09,2.53375568939458e-06
"APOB",786.311864964263,-6.93796679592045,1.03607113085277,-5.73123467983614,9.97022087140973e-09,2.53375568939458e-06
"GLYAT",941.518621325034,-8.6135862714678,1.33091634606037,-5.72055959339944,1.0617377954703e-08,2.63336617002769e-06
"LOC283392",1201.11081204521,-8.99908329896077,1.39849783464068,-5.71976809747154,1.06669539900433e-08,2.63336617002769e-06
"ALDH1L1",3170.19778416206,-6.67579532642951,1.00240223498901,-5.6621934073119,1.49450240598227e-08,3.63753465884219e-06
"PPARG",5247.58362984949,-5.12279708540384,0.732714703266931,-5.62674266944782,1.83644370886953e-08,4.40771996291309e-06
"FRMD1",205.549084312898,-7.16844505162959,1.10099144275739,-5.60262760642439,2.1112649796321e-08,4.99791371411266e-06
"TNXB",18001.1121141055,-5.37369296346518,0.782273316178827,-5.59100364669138,2.25760839052235e-08,5.27212575629955e-06
"LGALS12",3922.71996114919,-8.15193367434535,1.28803995072815,-5.55257130829073,2.81497824828356e-08,6.48608521447843e-06
"NPR1",4449.77702968057,-4.64969316698358,0.65868687892172,-5.54086210576743,3.00986164005851e-08,6.84387092129619e-06
"ANO3",369.064260395201,-6.57970786366352,1.00771687766582,-5.53697966892034,3.07732257868805e-08,6.90639110159847e-06
"EPB42",110.708339990474,-8.17236481875266,1.29676933752326,-5.53094880578481,3.18503278403725e-08,7.05648096678817e-06
"ABCD2",1515.18307558519,-6.45113849071102,0.988061674819835,-5.51700225768295,3.44831006213151e-08,7.54306913717655e-06
"KCNB1",392.491205061332,-5.16800193997027,0.756792168854451,-5.50745913013256,3.64049892480233e-08,7.86393273993864e-06
"AOC3",32124.0891195427,-5.25064802771697,0.772661371473006,-5.50130779750709,3.76984423742309e-08,8.04279978603808e-06
"TMEM132C",3057.50762254388,-6.9054858352204,1.07645470572358,-5.48605139056996,4.11017370567878e-08,8.66194046437013e-06
"AOX1",2219.04674833068,-4.20812537499006,0.585046165759552,-5.48354226170343,4.16892625449431e-08,8.67990537396581e-06
"SORBS1",29972.6404104702,-4.72754996152879,0.681839912415329,-5.46689903840394,4.57976728661042e-08,9.42178077141841e-06
"ASPA",331.311076963058,-5.44378088703379,0.813481486054481,-5.46266997247456,4.69026084272399e-08,9.53557619095451e-06
"PPP1R1A",7368.84387548697,-5.98107782916645,0.912342860669049,-5.45965562279259,4.77059017722764e-08,9.58611265728731e-06
"NTRK2",12113.321874927,-3.92239657800296,0.536526785177286,-5.44687918430261,5.12612560144692e-08,1.01581587723218e-05
"SLC19A3",9691.6697862441,-7.01663093323846,1.1049289873785,-5.44526481064926,5.17283705783416e-08,1.01581587723218e-05
"LEPR",3703.20516550399,-3.74194192503027,0.504175629596863,-5.43846581244461,5.37413190765977e-08,1.0434873426547e-05
"C14orf139",2097.48116298533,-4.71133212712473,0.684415632939151,-5.4226290992022,5.87287700259648e-08,1.12348951788319e-05
"MYOCD",100.871950429961,-4.52839406018482,0.650837170044569,-5.42131614877374,5.91618228848855e-08,1.12348951788319e-05
"MAPK8IP2",1638.01868621219,4.45281150895076,0.639062214844196,5.40293484538522,6.55592780383599e-08,1.2314455258488e-05
"GPLD1",245.321454235089,-4.44410613087699,0.638181741450817,-5.39674814739653,6.78595365664522e-08,1.26094693699447e-05
"HSPB6",17235.1777135703,-5.43622284075075,0.823097166948114,-5.38967089049694,7.05868301397467e-08,1.297671288984e-05
"GPAM",33944.3562521231,-5.66884537410545,0.868471218134009,-5.37593564025863,7.61860044099654e-08,1.38586351811433e-05
"CLEC3B",4653.37686450063,-5.16683528495629,0.782996363352787,-5.32165343286388,1.02828329695374e-07,1.85101704736017e-05
"PTCHD3",100.409826945295,-9.60029598743223,1.61986205621864,-5.30927677107798,1.10061092614593e-07,1.96078942419874e-05
"RDH5",2461.25333711952,-5.75159171354183,0.896116683337312,-5.3024252331136,1.14274273987169e-07,2.00006013815371e-05
"ADAMTS5",3809.19365464278,-3.10407906149933,0.396850983178376,-5.30193737873037,1.14580147952791e-07,2.00006013815371e-05
"MAOA",12054.2436044498,-5.28266433489657,0.810936115974622,-5.28113651683826,1.28384980317044e-07,2.21862084485883e-05
"PDE2A",2744.84041536621,-4.13845222578208,0.595180262264286,-5.27311207169783,1.34129597956328e-07,2.29494414087456e-05
